CustomerID,Recency,Frequency,MonetaryValue,Tenure,Cluster,Segment_Name,Churn_Risk
12346.0,326,1,77183.6,326,1,At Risk,Critical
12347.0,2,151,3598.21,317,2,Promising,Low
12348.0,75,31,1797.24,358,1,At Risk,High
12349.0,19,73,1757.55,19,0,Champions,Low
12350.0,310,17,334.4,310,1,At Risk,Critical
12352.0,36,85,2506.04,297,2,Promising,Medium
12353.0,204,4,89.0,204,1,At Risk,Critical
12354.0,232,58,1079.4,232,1,At Risk,Critical
12355.0,214,13,459.4,214,1,At Risk,Critical
12356.0,23,59,2811.43,326,2,Promising,Low
12357.0,33,131,6207.67,33,2,Promising,Medium
12358.0,2,19,1168.06,151,2,Promising,Low
12359.0,58,248,6372.58,332,2,Promising,Medium
12360.0,52,129,2662.06,201,2,Promising,Medium
12361.0,287,10,189.9,287,1,At Risk,Critical
12362.0,3,266,5226.23,296,2,Promising,Low
12363.0,110,23,552.0,242,1,At Risk,Critical
12364.0,8,85,1313.1,112,2,Promising,Low
12365.0,291,22,641.38,291,1,At Risk,Critical
12367.0,4,11,168.9,4,0,Champions,Low
12370.0,51,167,3545.69,360,2,Promising,Medium
12371.0,45,63,1887.96,60,0,Champions,Medium
12372.0,72,52,1298.04,297,2,Promising,High
12373.0,311,14,364.6,311,1,At Risk,Critical
12374.0,25,33,742.9300000000001,25,0,Champions,Low
12375.0,11,17,457.5,98,0,Champions,Low
12377.0,315,77,1628.12,355,1,At Risk,Critical
12378.0,130,219,4008.62,130,2,Promising,Critical
12379.0,82,40,852.24,170,1,At Risk,High
12380.0,22,104,2724.81,186,2,Promising,Low
12381.0,5,87,1845.31,120,2,Promising,Low
12383.0,185,99,1850.56,352,2,Promising,Critical
12384.0,29,27,585.27,122,0,Champions,Low
12386.0,338,2,143.0,338,1,At Risk,Critical
12388.0,16,100,2780.66,327,2,Promising,Low
12390.0,80,32,549.84,80,0,Champions,High
12391.0,22,100,460.89,22,0,Champions,Low
12393.0,72,64,1582.6000000000001,333,2,Promising,High
12394.0,64,27,1272.48,217,1,At Risk,High
12395.0,19,144,2672.53,357,2,Promising,Low
12397.0,36,126,2409.9,135,2,Promising,Medium
12398.0,46,85,1635.6599999999999,46,0,Champions,Medium
12399.0,119,59,1108.65,262,1,At Risk,Critical
12401.0,303,5,84.3,303,1,At Risk,Critical
12402.0,323,11,225.6,323,1,At Risk,Critical
12403.0,50,5,427.7,50,0,Champions,Medium
12405.0,149,54,1710.39,149,1,At Risk,Critical
12406.0,22,105,3415.3,184,2,Promising,Low
12407.0,50,77,1708.1200000000001,264,2,Promising,Medium
12408.0,33,105,2888.55,260,2,Promising,Medium
12409.0,79,109,11072.67,183,2,Promising,High
12410.0,309,26,693.3299999999999,309,1,At Risk,Critical
12412.0,75,61,1226.88,169,2,Promising,High
12413.0,67,38,758.1,337,1,At Risk,High
12414.0,217,18,562.41,310,1,At Risk,Critical
12415.0,24,714,124914.53,338,2,Promising,Low
12417.0,3,192,3649.1,358,2,Promising,Low
12418.0,113,34,668.58,113,1,At Risk,Critical
